QunNum,MastQQ,CreateDate,Title,Class,QunText
18296447,8,2006-01-02,兄弟群,162,
18296448,6,2005-12-09,倖福de摩天論,395,此地是霹雳无敌惊天动地翻江倒海天上没有地上无双的厨房四宝家族~~~~~~~~
18296450,20,2005-12-02,梦想Ψ医专,319,我是李胜涛。大家好
18296451,33,2005-12-02,广水四中九七三班,3,
18296452,35,2008-01-24,6班,395,11
18296453,4,2009-10-12,通海路中学2班,4278,通海路中学
18296454,3,2005-12-02,。。。。。,4087,http://www.allcombo.com/main/index.html
18296455,40,2006-06-18,快乐天地（11）,22,各位靓女靓仔可以张你地噶群名改成真名吗！甘样就知到你系边个拉！
18296456,2,2006-08-22,执子之手，与子偕老,4272,
18296457,67,2010-10-08,成都单身男女,3333,
18296458,2,2007-06-11,yiya,1858,有时间大家多多交流
18296459,36,2009-12-14,追求自由,397,坦诚对待彼此，珍惜彼此
18296460,16,2005-12-10,0o無所事事o0,397,
18296461,10,2007-03-12,嘟嘟饄,14,絧撮嗳噶人開開心心濄壹世
18296462,17,2007-01-13,≈＊絧病相連々,20,http://www.520meinv.com/index.asp
18296463,5,2005-12-11,新浪uc雷盟家族团体24,2,
18296464,5,2005-12-02,5002,393,
18296465,50,2005-12-03,Ｗǒ们天才の幸福小屋,2035,
18296466,2,2006-07-21,420993599(4),386,...........
18296467,9,2006-04-10,闺中密友,311,
18296468,16,2008-07-31,爱^-^法语,22,"這媞①群噯法語の亽,懷着卟茼の濄呿,帶着珙茼の儚想.呿往那蕞蒗漫の哋方!"
18296469,11,2006-06-21,群马地区,319,
18296471,33,2005-12-04,紫微公社,2288,传说中：喝了紫微的红茅烧，撒尿斗起几丈高！....<br/>欲知详情，欢迎加入~~~~
18296472,7,2006-04-22,笑死你不尝命,141,我的地盘我做主
18296474,59,2005-12-02,宁波速腾群,6,
18296475,40,2006-07-18,148班,4285,148班自己人的群..........全bu人都加上哦
18296476,35,2008-09-24,03届赤中三（2）班,4279,车天车地车大炮~~~~讲心讲金讲感情~~~~~
18296477,18,2010-04-24,文芳斋,17,我是公子的书迷.所以建了这个群.和我志同道合的朋友们有一个讨论的地方.
18296478,13,2010-07-21,石家庄论坛,402,大家都来论啊<br/>
18296479,23,2005-12-02,茳囍朲餤兲説哋____琳,4159,
18296480,9,2006-05-20,元宝山4#225,319,
18296482,1,2008-10-03,、本妞缺爱”,395,`
18296483,2,2006-04-26,音速情缘,4260,只加QQ音速的朋友，一起来体验乘风快跑的感觉~~
18296484,1,2005-12-02,我的群,395,没不知道怎么简介
18296485,9,2005-12-02,泣心永恒,131,NI說你從不流淚，那麽，這些淚是你冰冷的心融化後的水嗎？你的一生我只想借用一晚。
18296486,7,2007-07-12,莣鋽./↘濄麮,129,有一天，我走在大街上，有两个漂亮妹妹见了我，喊我帅哥，我说我不帅，她们边打边骂我
18296488,25,2009-07-09,关於“回忆”,77,一场遊戲````偷偷地爱上伱`
18296489,28,2005-12-02,STNT,163,
18296490,17,2005-12-02,疯狂地带,2044,
18296491,3,2009-04-15,＜罂粟花＞刺痛,0,fei5770273
18296492,48,2010-11-11,天豪,1953,一起来嘻嘻哈哈
18296493,1,2005-12-04,ˊ額..?!,50,
18296494,24,2009-08-17,缘来就这样,4274,
18296495,2,2006-04-06,幸福小家,395,
18296496,1,2005-12-02,过四及,151,
18296497,41,2007-04-24,天生购物狂,2182,天生购物狂
18296498,19,2007-05-06,萧飒/mg王子,393,只有心灵相通，不管到天长地久，总是天空中有颗心灵星星再为你我互送祝福的。.....
18296499,46,2005-12-12,心缘逸梦,4070,
18296500,3,2005-12-03,世界是我的,1467,
18296501,18,2006-05-18,┢花田错┦,18,
18296502,31,2009-10-09,学府留情,22,我们的蓝天，我们的梦想！为着同一个向往聚到一起！
18296503,49,2007-03-28,初中情,4277,2000级三（二）班
18296505,89,2005-12-02,05图形图像制作,4266,本群僅作為05圖形圖像制作專業（廣告設計方向）的同學留念之用~
18296506,23,2007-06-13,_.壊脾氣ˇ女絯,13,
18296507,1,2005-12-03,兽争霸魔,4177,
18296509,5,2005-12-02,爱的你和我,319,
18296510,24,2006-08-04,缘份天空,16,寒风淅淅凄凉凉，泪水涟涟愁忧忧。思伊之情断人肠，满腹心酸问苍天。
18296511,1,2007-12-02,hao,145,bi
18296512,2,2010-07-05,市场交流,178,
18296513,1,2006-02-22,tatlik.com,77,
18296514,8,2006-04-08,松一150宿舍好兄弟,4274,过去的日子是多么的让人怀念~
18296515,18,2006-03-07,ヤ﹎DOTAALLSTA﹏.◇,4087,啊啊想加就加<br/>
18296516,12,2005-12-02,树欲静，风不止………,315,
18296517,22,2005-12-02,倾城乄众神归来①群,398,如果不玩新电信无畏的兄弟请加群号：122649704
18296518,3,2006-05-06,奈何天,3499,良辰美景奈何天
18296520,1,2010-01-25,朋友群,4279,
18296521,64,2005-12-02,土溪中学2003级9班,4282,永远是朋友~~~~★
18296523,1,2009-12-20,看群公告！好消息！,187,
18296524,41,2008-04-02,高三(2)班,4272,咱们2班特棒.
18296525,2,2009-08-17,【无忧城】,395,世事如棋，人海茫茫，人与人之间能够相遇相知，或是相亲相爱，是必然，也是偶然
18296526,3,2005-12-02,`!深愛祢°,2273,…の、(.˙沒銪祢嘚鈤吇昰煎熬οo╰☆.請卟偠缡开硪。!、┌.
18296527,1,2011-03-20,战,20,
18296529,2,2007-05-05,喜洋洋,314,喜洋洋的故事
18296530,11,2007-09-03,白峰ぜ【西瞥刚】,13,哈眼了开点车也要杂水去？？？？在响响我用版头靠弄<br/>
18296531,7,2006-02-22,乱系八糟,18,
18296532,53,2005-12-02,▕破вī學校沒臉說,4286,▂°:/&acute;跟偶玩訫眼.纍嗎&acute;？/;&acute;.<br/>本群人员.嘴脸优势。<br/>
18296533,35,2006-03-07,高三12班,3,
18296534,3,2008-05-19,游戏人生,316,网络上的快感
18296535,3,2005-12-02,电脑技术交流与维护,185,
18296536,28,2008-09-17,爱与不爱,20,爱你就不要变
18296537,1,2008-12-15,2343242,50,423423423
18296538,3,2010-04-08,金莎国际,402,
18296540,11,2005-12-18,04规划dota,4276,
18296541,10,2009-01-20,开心地带,316,本人，平凡人一个，最大的愿望就是开开心心的过俺的小日子O(∩_∩)O哈哈~
18296542,15,2005-12-09,~網吧但~,147,
18296543,10,2011-03-24,中明文具,332,
18296545,37,2005-12-02,平⊙高一（6）班,1919,永远的高一六班！！！！！！！！
18296546,42,2005-12-02,953,22,同学交流
18296547,16,2005-12-02,賠祢逛這條街,1125,
18296548,12,2008-02-09,友谊接力棒,309,哦也.../
18296549,1,2006-03-17,爱就要幸福,319,爱就要爱的肯定ī爱就要爱的幸福<br/>我管遇到什么难题~我唯一爱的就是你
18296550,9,2006-02-22,い╰乖灬乖╯ヴ群,313,
18296551,43,2007-04-20,⑺癍№楆洧懜,7,我们曾经一起................
18296552,27,2008-10-02,╰尓ъù嬞℡,7,trfh
18296553,17,2005-12-02,看群公告！好消息！,187,免费拿話費兩百块!群里的朋友们用手机拨打1259064212参加侣友在线答题就可以了，我今
18296554,3,2006-10-10,-謀某秂\，,3924,&amp;&amp;&amp;爱到尽头.覆水难受.!
18296555,1,2006-05-19,︻$▅▆▇◤,4278,传奇朋友随时欢迎加入
18296556,50,2005-12-02,94邂逅,0,網絡兼職，輕松在家賺錢www.kkn52.cn想做网络兼职的请速来报名
18296557,1,2005-12-02,龙之传,4217,个发是的发个
18296558,79,2006-06-08,广州人广美事,4279,http://3nth.taobao.com/
18296560,42,2006-01-12,98农学,2579,欢迎加入快乐98农学大家庭！
18296561,20,2006-05-12,♀逍遥天下♂,4265,相信自己有能力做好每一件事，失败了也不要灰心。要坚强的在努力，直到成功！~
18296562,8,2005-12-02,爱的谎言,2215,（*＼／*）<br/>*＼愛情／*<br/>*＼／*想住噶几时都系你啊!@^*^Rain&amp;*T-T
18296563,1,2006-02-22,蓝宇天空,18,
18296564,5,2005-12-02,劲★舞,1058,龙在边缘0∑之？？？？？？？？
18296566,37,2007-09-21,姚敏,4059,
18296568,2,2009-01-08,硬件群,190,
18296569,22,2005-12-25,风*~de*~一脚,2,
18296570,1,2006-04-20,我们在一起,20,这是我们在因特耐特上的家哦，大家有空就多顶顶，热闹下哈~~！
18296571,8,2005-12-25,-----飞碟探索,130,www.fdts.com.cn<br/>飞碟探索<br/>gstp2003@163.com
